ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
10765809;"3mujeres";"";"0";"0";"";"";"2018-09-30 00:00:00.0";"2018-09-30 23:59:00.0";"19:00";"3Mujeres es el fruto de la colaboración entre dos de las compañías madrileñas de danza con más peso en el panorama nacional.   EnClaveDanza, LarumbeDanza, y la productora Es.Arte se unen para establecer una conexión artística directa, que aborda la creación desde el reto de cohesionar diferentes estilos de danza, fundamentados en la diversidad y mezcla culturales.  Dir. Cristina Masson ? EnClaveDanza.  Entrada: 6,70 euros, reducida 6 euros.  A partir de 16 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff2bce92b2b75610VgnVCM2000001f4a900aRCRD";"II Festival LDC. Un lugar donde compartir";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bca9ce92b2b75610VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12eb70618510f210VgnVCM1000000b205a0aRCRD";"Centro Cultural Sanchinarro (Hortaleza)";"444469";"4482391";"40.49035310157377";"-3.655261744717257";"HORTALEZA";"/contenido/actividades/DanzaBaile";"";
10773275;"4 corazones con freno y marcha atrás";"";"1";"0";"";"";"2018-10-06 00:00:00.0";"2018-10-06 23:59:00.0";"19:00";"TEATRO   Autor: Jardiel Poncela   Público: Todos los públicos   Duración: 90 minutos   Sinopsis: Cinco personas que no sólo se convierten en inmortales sino que, descontentos con ello, cuatro de ellos acaban rejuveneciendo. Lo que parece ser algo maravilloso se convierte en una existencia insoportable que los sumirá en la desesperación.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=62a0f4f6e93b5610VgnVCM1000001d4a900aRCRD";"Actividades Centro Cultural Príncipe de Asturias. Octubre 2018.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b4ef8221a51e1610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d1ca1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Príncipe de Asturias (Ciudad Lineal)";"445948";"4476395";"40.436444648624814";"-3.6373000672722675";"CIUDAD LINEAL";"/contenido/actividades/TeatroPerformance/ComediaMonologo";"";
10783240;"50 Aniversario Asociación de Propietarios y Vecinos de San Nicolás";"";"1";"0";"";"";"2018-10-05 00:00:00.0";"2018-10-05 23:59:00.0";"17:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=80e42dbd6a7f5610VgnVCM1000001d4a900aRCRD";"50 Aniversario Asociación de Propietarios y Vecinos de San Nicolás";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=08732dbd6a7f5610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03f7cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Santa Petronila (Villaverde)";"441277";"4466932";"40.35087114162283";"-3.691508909255186";"VILLAVERDE";"/contenido/actividades/ComemoracionesHomenajes";"";
10752819;"5000 años de la historia del vidrio";"";"1";"0";"";"";"2018-10-17 00:00:00.0";"2018-10-17 23:59:00.0";"12:00";"Francisco Capel del Águila nos hablará sobre la historia del vidrio. 5000 años es el tiempo que llevamos fabricando y haciendo uso de los distintos vasos, platos y demás utensilios y objetos.  Sala de cristal.  Entrada libre hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82cad4bb6f1c4610VgnVCM1000001d4a900aRCRD";"Conferencias en las bibliotecas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b7be916d9a54610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Mario Vargas Llosa (Centro)";"440645";"4475347";"40.426642215368176";"-3.699722994908341";"CENTRO";"/contenido/actividades/ConferenciasColoquios";"";
10780742;"6 Mulleres";"";"1";"0";"";"";"2018-11-09 00:00:00.0";"2018-11-09 23:59:00.0";"19:00";"Sumrrá está considerado como uno de los nuevos referentes del jazz contemporáneo, llevando hasta sus límites la exploración y composición del formato trío de jazz. Desde el año 2000 Sumrrá ha participado en numerosos festivales nacionales e internacionales, llevando por el mundo adelante no solo el virtuosismo de sus tres integrantes, la originalidad de la propuesta y el sonido único y característico de la banda, sino también un montón de composiciones propias (todas sus composiciones son propias, no tocan estandares) con un directo arrollador y novedoso al que avalan las mejores cri?ticas.  Con 18 años de trayectoria y 6 discos editados Sumrrá está considerado como uno de los nuevos referentes del jazz contemporáneo, llevando hasta sus límites la exploración y composición del formato piano trío de jazz. Desde el año 2000, Sumrrá ha participado en numeroso festivales nacionales e internacionales por 4 continentes. Con sus dos últimos trabajos dan un paso más hacia la internacionalización ya que ambos fueron lanzados por el sello norteamericano Clermont Music  Sumrrá rinde tributo a 6 mujeres poderosas que han sido y aún son fuente de inspiración en la lucha por un futuro mejor para toda la humanidad. Sumrrá dará este concierto como parte de la programación de Jazz que CiudaDistrito ha preparado durante el mes de noviembre para acompañar al Festival internacional de Jazz.   Para más información del evento";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=74955fdabbce5610VgnVCM1000001d4a900aRCRD";"6 Mulleres";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b6a55fdabbce5610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Carril del Conde (Hortaleza)";"444516";"4479119";"40.46088953531134";"-3.6544210187969433";"HORTALEZA";"/contenido/actividades/1ciudad21distritos";"";
10765585;"A gatas y a gatos con Roberto Mezquita";"";"1";"0";"";"";"2018-12-18 00:00:00.0";"2018-12-18 23:59:00.0";"17:30";"La música de la kalimba africana y del acordeón, introducen esta suave sesión en la que iremos dejando caer diversas retahílas, canciones, juegos, historias acumulativas?y algunas otras sorpresas sonoras y no sonoras, pensadas para atraer la atención de los más chiquitines y provocar su disfrute.   La palabra contada y cantada tiene ritmo, color, olor, sabor? y si además los bebés la reciben en compañía de su mamá, papá u otro adulto, junto al que puedan canturrear, bailar o palmotear; la experiencia promete resultar fascinante.    Necesaria invitación previa, consultar en la biblioteca.     Dos sesiones: A las 17:30 y a las 18:15 horas.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c9bb0091ba75610VgnVCM1000001d4a900aRCRD";"Bebecuentos en las bibliotecas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=95c1f500d625e510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e403d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal San Blas (San Blas-Canillejas)";"447249";"4474586";"40.420231627534996";"-3.6218113860909074";"SAN BLAS-CANILLEJAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10765460;"A gatas y a gatos con Roberto Mezquita";"";"1";"0";"";"";"2018-10-10 00:00:00.0";"2018-10-10 23:59:00.0";"17:30";"La música de la kalimba africana y del acordeón, introducen esta suave sesión en la que iremos dejando caer diversas retahílas, canciones, juegos, historias acumulativas?y algunas otras sorpresas sonoras y no sonoras, pensadas para atraer la atención de los más chiquitines y provocar su disfrute.   La palabra contada y cantada tiene ritmo, color, olor, sabor? y si además los bebés la reciben en compañía de su mamá, papá u otro adulto, junto al que puedan canturrear, bailar o palmotear; la experiencia promete resultar fascinante.    Necesaria invitación previa, consultar en la biblioteca.     Dos sesiones: A las 17:30 y a las 18:15 horas.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dd2e7e35a3a75610VgnVCM2000001f4a900aRCRD";"Bebecuentos en las bibliotecas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=95c1f500d625e510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD";"Biblioteca Pública Municipal Gloria Fuertes (Barajas)";"449661";"4479046";"40.46055947228695";"-3.5937461811785347";"BARAJAS";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños,/usuario/Familias";
10773300;"A los poetas, burlesco y otras hierbas";"";"1";"0";"";"";"2018-10-26 00:00:00.0";"2018-10-26 23:59:00.0";"19:00";"MÚSICA MEDIEVAL   Público: Todos los públicos   Duración: 80 minutos   Sinopsis: Cantamos a poetas españoles desde la edad media a la actualidad, y abarcamos las tres culturas. Dos voces, salterio medieval, guitarra acústica, eléctrica y diversas percusiones.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0546f4f6e93b5610VgnVCM1000001d4a900aRCRD";"Actividades Centro Cultural Príncipe de Asturias. Octubre 2018.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b4ef8221a51e1610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d1ca1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Príncipe de Asturias (Ciudad Lineal)";"445948";"4476395";"40.436444648624814";"-3.6373000672722675";"CIUDAD LINEAL";"/contenido/actividades/TeatroPerformance/ComediaMonologo";"";
10772327;"Abordando los riesgos psicosociales: mediación y prevención.";"";"1";"0";"";"";"2018-10-29 00:00:00.0";"2018-10-29 23:59:00.0";"19:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3c2ed683689a5610VgnVCM1000001d4a900aRCRD";"Abordando los riesgos psicosociales: mediación y prevención";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ad0ed683689a5610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Conde Duque (Centro)";"439723";"4475438";"40.42738668300474";"-3.7105999955473625";"CENTRO";"/contenido/actividades/CursosTalleres";"";
10786490;"Acto de clausura";"";"1";"0";"";"";"2018-10-27 00:00:00.0";"2018-10-27 23:59:00.0";"19:00";"Representación de la obra ganadora del XVI certamen de teatro clásico.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=19d975e630516610VgnVCM1000001d4a900aRCRD";"XVI Certamen de teatro Moratalaz";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=973ecfc2d84a5610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural el Torito (Moratalaz)";"445141";"4473033";"40.40609591857167";"-3.646536107063507";"MORATALAZ";"/contenido/actividades/TeatroPerformance";"";
